SK_ID_CURR,CODE_GENDER,age,DAYS_BIRTH,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,AMT_CREDIT,A,B,C,D
301207,0,1,19311,1,67500,4,675000.0,,1.0,,
279310,0,1,19857,1,121500,4,1252363.5,,1.0,,
106337,0,1,14483,1,90000,4,306000.0,,1.0,,
324970,0,1,9932,1,270000,4,1256400.0,,1.0,,
427301,0,1,16648,1,72000,4,854896.5,,1.0,,
262127,0,1,22262,1,135000,4,382500.0,,1.0,,
240613,1,1,18063,1,90000,4,754740.0,1.0,,,
323054,0,0,8099,1,180000,4,414000.0,,,,1.0
372532,1,1,16082,1,157500,4,225000.0,1.0,,,
116509,1,1,14040,0,135000,4,769500.0,1.0,,,
361744,0,1,21429,1,112500,4,152820.0,,1.0,,
103805,1,1,21098,1,225000,4,472500.0,1.0,,,
407560,0,1,16875,1,112500,1,403083.0,,1.0,,
130924,0,1,16934,0,157500,4,675000.0,,1.0,,
303396,0,1,15368,1,360000,1,545040.0,,1.0,,
203572,0,1,22433,1,112500,4,675000.0,,1.0,,
195358,0,1,9871,1,157500,4,156384.0,,1.0,,
361448,1,1,11703,0,378000,1,432990.0,1.0,,,
445562,1,1,15373,1,405000,1,900000.0,1.0,,,
447608,0,1,14937,0,315000,1,1350000.0,,1.0,,
166381,1,1,18011,0,180000,4,270000.0,1.0,,,
371313,0,1,10543,0,90000,1,225000.0,,1.0,,
309206,1,1,16479,0,135000,4,474048.0,1.0,,,
308035,0,1,10197,1,360000,1,443178.0,,1.0,,
316724,0,1,15498,1,180000,4,913347.0,,1.0,,
163544,1,1,15822,1,135000,4,152820.0,1.0,,,
391403,1,1,14869,1,315000,4,971280.0,1.0,,,
168482,0,1,11566,1,135000,1,594121.5,,1.0,,
127542,0,1,24243,0,112500,4,254700.0,,1.0,,
217124,0,1,19429,0,81000,4,157500.0,,1.0,,
154059,0,1,18127,1,157500,4,366588.0,,1.0,,
328789,1,1,10205,0,162000,1,900000.0,1.0,,,
164051,1,1,13601,1,135000,4,878733.0,1.0,,,
263446,1,1,9503,1,270000,4,675000.0,1.0,,,
185521,0,1,13033,0,45000,4,521280.0,,1.0,,
399629,1,1,11683,1,135000,4,277969.5,1.0,,,
221655,0,1,19852,1,315000,1,787500.0,,1.0,,
196511,1,1,11572,1,202500,4,405000.0,1.0,,,
448855,1,1,11841,0,270000,4,447768.0,1.0,,,
175540,1,1,18990,1,180000,4,381528.0,1.0,,,
251338,0,1,11489,1,83250,4,1078200.0,,1.0,,
125155,1,1,22611,0,90000,4,808650.0,1.0,,,
161613,0,1,16830,1,180000,1,392472.0,,1.0,,
392518,0,1,20849,1,675000,1,1339884.0,,1.0,,
454292,0,1,21730,1,135000,3,1035832.5,,1.0,,
152347,0,1,9693,1,225000,1,562491.0,,1.0,,
278694,1,0,8676,0,135000,2,568800.0,,,1.0,
102020,0,1,19085,1,81000,4,755190.0,,1.0,,
343988,1,1,21821,0,103500,4,127350.0,1.0,,,
200791,1,1,10548,0,225000,4,343800.0,1.0,,,
406562,0,1,11961,0,157500,4,450000.0,,1.0,,
177608,1,1,12403,0,495000,1,1350000.0,1.0,,,
438130,0,1,22323,0,135000,4,1309500.0,,1.0,,
322149,1,1,11140,0,405000,1,1724220.0,1.0,,,
225490,0,1,12432,1,180000,4,270000.0,,1.0,,
332106,0,1,22142,1,118350,3,743958.0,,1.0,,
399437,0,1,10528,1,270000,1,900000.0,,1.0,,
364369,0,1,18242,1,135000,4,1223010.0,,1.0,,
186980,1,1,17588,1,90000,2,450000.0,1.0,,,
196949,0,1,11380,0,180000,1,675000.0,,1.0,,
438752,1,1,9884,0,108000,4,180000.0,1.0,,,
304781,1,1,23408,1,90000,3,544491.0,1.0,,,
203596,0,1,23598,1,135000,4,540000.0,,1.0,,
251785,1,1,20487,1,225000,4,405000.0,1.0,,,
270926,0,0,9000,1,90000,4,180000.0,,,,1.0
190181,1,1,19985,0,135000,4,1079883.0,1.0,,,
126157,0,1,15330,1,202500,1,765000.0,,1.0,,
204141,0,1,12793,1,67500,1,202500.0,,1.0,,
151957,0,1,15079,1,180000,1,543037.5,,1.0,,
218014,0,1,10354,1,180000,1,90000.0,,1.0,,
290741,0,1,12911,1,270000,2,1066608.0,,1.0,,
174033,1,1,19108,1,67500,4,862560.0,1.0,,,
206966,0,0,8133,1,157500,4,450000.0,,,,1.0
156076,0,1,19151,1,157500,4,1436850.0,,1.0,,
411071,1,1,16070,0,360000,4,933003.0,1.0,,,
152634,1,1,14212,1,90000,4,127350.0,1.0,,,
153813,0,1,18430,1,225000,4,188685.0,,1.0,,
284610,0,1,18636,0,360000,4,497520.0,,1.0,,
374181,0,1,14638,1,90000,4,202500.0,,1.0,,
205539,0,0,8873,0,27000,4,343800.0,,,,1.0
115040,0,1,20116,1,135000,4,690048.0,,1.0,,
353030,0,1,9418,1,54000,4,254700.0,,1.0,,
131515,0,1,20070,1,225000,4,1078200.0,,1.0,,
302126,1,1,11172,1,180000,1,991818.0,1.0,,,
